id,name,age,salary,city,department,experience_years,rating,joining_year,is_manager
1,Name_1,56,81476,Bangalore,IT,14,2.65,2014,False
2,Name_2,46,64811,Delhi,HR,3,3.78,2023,False
3,Name_3,32,56208,Hyderabad,HR,10,1.01,2022,True
4,Name_4,25,40150,Hyderabad,Marketing,18,3.48,2010,False
5,Name_5,38,91180,Hyderabad,Sales,14,2.42,2019,False
6,Name_6,56,63286,Delhi,Sales,3,4.18,2014,False
7,Name_7,36,88450,Delhi,IT,12,1.37,2009,False
8,Name_8,40,41352,Mumbai,Finance,18,3.35,2009,True
9,Name_9,28,75069,Bangalore,Sales,1,2.92,2014,True
10,Name_10,28,34397,Chennai,Marketing,13,3.57,2009,True
11,Name_11,41,61555,Hyderabad,IT,3,1.26,2007,False
12,Name_12,53,66959,Mumbai,IT,15,3.32,2010,False
13,Name_13,57,20728,Chennai,Marketing,19,3.25,2008,False
14,Name_14,41,70517,Mumbai,Finance,13,3.24,2022,False
15,Name_15,20,86234,Delhi,Marketing,14,3.41,2013,False
16,Name_16,39,59954,Hyderabad,Finance,2,3.71,2021,True
17,Name_17,19,67280,Chennai,Marketing,7,4.22,2017,False
18,Name_18,41,99459,Chennai,Marketing,15,2.08,2019,False
19,Name_19,47,36779,Chennai,HR,9,4.3,2024,True
20,Name_20,55,83932,Chennai,IT,3,2.99,2021,False
21,Name_21,19,92936,Chennai,Marketing,17,1.31,2017,True
22,Name_22,38,44466,Mumbai,Marketing,1,1.23,2020,True
23,Name_23,50,56939,Hyderabad,Sales,16,2.34,2008,True
24,Name_24,29,89896,Delhi,IT,12,4.14,2009,True
25,Name_25,39,55270,Delhi,Sales,3,3.83,2009,True
26,Name_26,42,79163,Delhi,IT,10,4.15,2013,False
27,Name_27,44,102637,Delhi,Sales,6,3.07,2021,True
28,Name_28,59,71934,Mumbai,Marketing,11,2.76,2017,True
29,Name_29,45,84895,Bangalore,Marketing,9,1.59,2006,False
30,Name_30,33,52307,Hyderabad,HR,6,2.31,2017,False
31,Name_31,32,74098,Chennai,Sales,12,2.74,2023,True
32,Name_32,20,80921,Bangalore,Finance,6,1.35,2007,False
33,Name_33,54,25486,Delhi,HR,16,1.88,2014,False
34,Name_34,24,28335,Bangalore,Sales,9,3.39,2006,True
35,Name_35,38,106900,Hyderabad,Sales,9,3.94,2017,True
36,Name_36,26,109112,Chennai,HR,3,4.99,2023,False
37,Name_37,56,117203,Chennai,Marketing,19,4.73,2021,True
38,Name_38,35,31130,Hyderabad,Sales,3,3.57,2018,True
39,Name_39,21,107508,Hyderabad,Marketing,6,2.68,2016,False
40,Name_40,42,80566,Delhi,HR,0,3.54,2016,True
41,Name_41,31,86703,Chennai,Marketing,11,4.14,2015,True
42,Name_42,26,47192,Bangalore,IT,12,1.47,2011,True
43,Name_43,43,21062,Mumbai,Finance,9,2.64,2008,True
44,Name_44,19,104076,Mumbai,Sales,14,4.36,2023,True
45,Name_45,37,109780,Hyderabad,Finance,12,2.54,2005,False
46,Name_46,45,41545,Delhi,Marketing,8,3.29,2007,False
47,Name_47,24,41689,Mumbai,Sales,8,3.35,2017,True
48,Name_48,25,31174,Chennai,Marketing,14,1.74,2019,False
49,Name_49,52,108461,Hyderabad,IT,9,2.45,2006,True
50,Name_50,31,29348,Bangalore,HR,9,2.34,2015,True
51,Name_51,34,43714,Hyderabad,Sales,7,1.1,2008,True
52,Name_52,53,58102,Bangalore,IT,15,1.1,2023,True
53,Name_53,57,94460,Hyderabad,IT,16,4.33,2021,True
54,Name_54,21,109930,Hyderabad,Sales,4,2.09,2007,False
55,Name_55,19,26801,Hyderabad,Marketing,3,3.07,2022,False
56,Name_56,23,92267,Bangalore,IT,17,2.19,2012,True
57,Name_57,59,68136,Bangalore,Finance,18,4.76,2023,False
58,Name_58,21,43625,Hyderabad,IT,3,2.04,2009,True
59,Name_59,46,102873,Mumbai,Marketing,6,2.72,2011,False
60,Name_60,35,92592,Delhi,Marketing,9,4.49,2012,True
61,Name_61,43,97052,Delhi,Finance,17,4.37,2009,False
62,Name_62,51,64261,Delhi,IT,18,1.74,2021,True
63,Name_63,27,21542,Bangalore,Marketing,3,4.21,2009,True
64,Name_64,53,41677,Bangalore,Sales,9,2.83,2008,False
65,Name_65,31,66732,Mumbai,HR,0,2.93,2023,False
66,Name_66,48,70343,Delhi,HR,17,1.53,2006,True
67,Name_67,32,59081,Delhi,HR,4,1.32,2015,False
68,Name_68,25,82856,Hyderabad,IT,14,3.91,2017,True
69,Name_69,31,113105,Bangalore,Finance,16,2.99,2019,False
70,Name_70,40,108858,Delhi,Marketing,2,2.75,2016,False
71,Name_71,57,39065,Mumbai,Sales,11,3.92,2015,True
72,Name_72,38,103460,Mumbai,Sales,1,4.06,2011,False
73,Name_73,33,108092,Delhi,IT,0,1.64,2009,False
74,Name_74,35,74693,Bangalore,HR,16,3.44,2021,True
75,Name_75,41,46962,Mumbai,IT,15,1.54,2024,False
76,Name_76,43,48295,Hyderabad,Finance,4,4.01,2013,True
77,Name_77,42,33807,Mumbai,Finance,14,3.63,2018,True
78,Name_78,58,62348,Chennai,Marketing,2,4.83,2016,True
79,Name_79,46,46432,Chennai,Marketing,6,1.28,2010,True
80,Name_80,32,103285,Bangalore,Finance,10,1.23,2021,True
81,Name_81,18,111792,Delhi,Finance,9,2.13,2023,False
82,Name_82,42,77854,Bangalore,Finance,8,2.05,2023,True
83,Name_83,24,60262,Bangalore,IT,13,1.99,2020,True
84,Name_84,26,57080,Bangalore,Finance,12,4.63,2016,False
85,Name_85,41,21324,Bangalore,Sales,1,2.0,2016,False
86,Name_86,18,111267,Hyderabad,HR,2,2.09,2024,False
87,Name_87,25,55909,Hyderabad,Finance,6,4.04,2010,True
88,Name_88,41,109339,Mumbai,HR,17,2.8,2008,True
89,Name_89,28,39870,Chennai,IT,2,4.11,2010,True
90,Name_90,34,54578,Bangalore,HR,9,1.26,2015,False
91,Name_91,25,92124,Mumbai,IT,6,2.95,2005,True
