id,name,age,salary,city,department,experience_years,rating,joining_year,is_manager
1.0,Karthik Kumar,56.0,81476.0,Bangalore,IT,14.0,2.65,2014.0,
2.0,Manoj Iyer,46.0,64811.0,,HR,3.0,3.78,2023.0,
3.0,Nikhil Reddy,32.0,56208.0,Hyderabad,HR,10.0,1.01,2022.0,True
,Karthik Patel,25.0,40150.0,Hyderabad,Marketing,18.0,3.48,2010.0,
,,38.0,,,,14.0,2.42,2019.0,False
6.0,Priya Kumar,56.0,63286.0,Delhi,Sales,3.0,4.18,2014.0,False
7.0,Arun Sharma,36.0,88450.0,Delhi,IT,12.0,1.37,2009.0,False
8.0,Ravi Iyer,40.0,41352.0,Mumbai,Finance,,,,True
9.0,Pooja Das,28.0,75069.0,Bangalore,Sales,1.0,2.92,2014.0,True
10.0,,28.0,34397.0,Chennai,Marketing,13.0,3.57,,True
11.0,Ravi Patel,41.0,61555.0,,IT,3.0,1.26,2007.0,False
12.0,Priya Iyer,53.0,66959.0,,IT,15.0,3.32,2010.0,False
13.0,Kavya Das,57.0,20728.0,Chennai,Marketing,19.0,3.25,2008.0,
,Manoj Kumar,41.0,,Mumbai,Finance,13.0,3.24,2022.0,False
15.0,Ajay Verma,,86234.0,Delhi,Marketing,14.0,3.41,2013.0,
16.0,Sneha Nair,39.0,59954.0,Hyderabad,Finance,2.0,3.71,2021.0,True
17.0,Suresh Iyer,19.0,67280.0,Chennai,Marketing,7.0,4.22,2017.0,False
18.0,Sneha Sharma,41.0,99459.0,Chennai,Marketing,15.0,2.08,2019.0,False
19.0,Rahul Verma,47.0,36779.0,Chennai,HR,9.0,,2024.0,True
20.0,Karthik Gupta,55.0,83932.0,Chennai,IT,3.0,2.99,2021.0,False
21.0,Divya Das,19.0,,Chennai,Marketing,17.0,1.31,2017.0,True
22.0,,38.0,44466.0,Mumbai,Marketing,1.0,1.23,2020.0,True
23.0,Kavya Patel,,56939.0,Hyderabad,Sales,16.0,,2008.0,True
,,29.0,89896.0,Delhi,IT,12.0,4.14,2009.0,True
25.0,Rahul Patel,39.0,55270.0,Delhi,Sales,3.0,3.83,2009.0,
26.0,Pranav Das,42.0,79163.0,Delhi,IT,10.0,4.15,2013.0,
,Divya Das,44.0,102637.0,Delhi,Sales,6.0,3.07,2021.0,True
28.0,Ravi Sharma,59.0,71934.0,Mumbai,,11.0,2.76,2017.0,True
29.0,Vikram Iyer,45.0,84895.0,Bangalore,Marketing,9.0,1.59,2006.0,
30.0,Pranav Sharma,33.0,52307.0,Hyderabad,HR,6.0,2.31,2017.0,False
31.0,Nikhil Sharma,32.0,74098.0,,Sales,12.0,2.74,2023.0,True
32.0,Anjali Nair,20.0,80921.0,Bangalore,Finance,6.0,1.35,2007.0,False
33.0,,,25486.0,Delhi,HR,16.0,1.88,2014.0,False
,,24.0,28335.0,Bangalore,Sales,9.0,,2006.0,True
35.0,Divya Iyer,38.0,106900.0,Hyderabad,Sales,9.0,3.94,2017.0,True
36.0,Manoj Sharma,26.0,109112.0,Chennai,HR,3.0,4.99,2023.0,False
37.0,Ishita Reddy,56.0,,Chennai,Marketing,19.0,4.73,2021.0,True
38.0,Aishwarya Iyer,35.0,31130.0,Hyderabad,Sales,3.0,3.57,2018.0,True
39.0,Ajay Singh,21.0,107508.0,Hyderabad,Marketing,6.0,2.68,2016.0,False
40.0,Anjali Nair,42.0,,Delhi,HR,0.0,3.54,2016.0,True
41.0,Aishwarya Iyer,,86703.0,Chennai,Marketing,11.0,4.14,2015.0,True
42.0,Sneha Kumar,26.0,47192.0,Bangalore,IT,12.0,1.47,2011.0,True
43.0,Nikhil Kumar,43.0,21062.0,Mumbai,Finance,9.0,2.64,2008.0,True
44.0,Sneha Verma,19.0,104076.0,,Sales,14.0,4.36,2023.0,True
45.0,Manoj Sharma,37.0,109780.0,Hyderabad,Finance,12.0,2.54,2005.0,False
46.0,Ravi Das,45.0,41545.0,Delhi,Marketing,,3.29,2007.0,False
47.0,,24.0,41689.0,Mumbai,Sales,8.0,3.35,2017.0,True
48.0,Meera Verma,25.0,31174.0,Chennai,Marketing,14.0,1.74,2019.0,
49.0,Kavya Reddy,52.0,,Hyderabad,IT,9.0,2.45,2006.0,True
50.0,Manoj Reddy,31.0,29348.0,Bangalore,HR,9.0,2.34,2015.0,True
,Nikhil Patel,,43714.0,Hyderabad,Sales,7.0,1.1,2008.0,True
52.0,Aishwarya Nair,53.0,58102.0,Bangalore,IT,,1.1,2023.0,True
53.0,Neha Verma,57.0,94460.0,,IT,,4.33,2021.0,True
54.0,Neha Verma,21.0,109930.0,Hyderabad,Sales,4.0,2.09,2007.0,False
55.0,Divya Iyer,19.0,26801.0,Hyderabad,Marketing,3.0,3.07,2022.0,False
